2025-10-30 19:35:40,598 | INFO     | LatencyMonitor | Resumed
2025-10-30 19:35:41,159 | INFO     | LatencyMonitor | Paused
2025-10-30 19:44:55,700 | INFO     | LatencyMonitor | Settings applied at startup (path=/home/fran/Desktop/Paarchen/latency-monitor/src/lm/ui/settings.json exists=False)
2025-10-30 19:45:10,404 | INFO     | LatencyMonitor | Settings applied at startup (path=/home/fran/Desktop/Paarchen/latency-monitor/src/lm/ui/settings.json exists=False)
2025-10-30 19:49:14,708 | INFO     | LatencyMonitor | Settings applied at startup (path=/home/fran/Desktop/Paarchen/latency-monitor/src/lm/ui/settings.json exists=False)
2025-10-30 19:50:42,175 | INFO     | LatencyMonitor | Settings applied at startup (path=/home/fran/Desktop/Paarchen/latency-monitor/src/lm/ui/settings.json exists=False)
2025-10-30 19:54:31,042 | INFO     | LatencyMonitor | Settings applied at startup (path=/home/fran/Desktop/Paarchen/latency-monitor/src/lm/ui/settings.json exists=False)
2025-10-30 19:55:01,549 | INFO     | LatencyMonitor | Settings applied at startup (path=/home/fran/Desktop/Paarchen/latency-monitor/src/lm/ui/settings.json exists=False)
2025-10-30 19:56:57,270 | INFO     | LatencyMonitor | Settings applied at startup (path=/home/fran/Desktop/Paarchen/latency-monitor/src/lm/ui/settings.json exists=False)
2025-10-30 20:00:51,082 | INFO     | LatencyMonitor | Settings applied at startup (path=/home/fran/Desktop/Paarchen/latency-monitor/src/lm/ui/settings.json exists=False)
2025-10-30 20:01:52,982 | INFO     | LatencyMonitor | Settings applied at startup (path=/home/fran/Desktop/Paarchen/latency-monitor/src/lm/ui/settings.json exists=False)
2025-10-30 20:07:40,243 | INFO     | LatencyMonitor | Settings applied at startup (path=/home/fran/Desktop/Paarchen/latency-monitor/src/lm/ui/settings.json exists=False)
2025-10-30 20:14:05,753 | INFO     | LatencyMonitor | Settings applied at startup (path=/home/fran/Desktop/Paarchen/latency-monitor/src/lm/ui/settings.json exists=False)
2025-10-30 20:17:04,765 | INFO     | LatencyMonitor | Settings applied at startup (path=/home/fran/Desktop/Paarchen/latency-monitor/src/lm/ui/settings.json exists=False)
2025-10-30 20:17:57,770 | INFO     | LatencyMonitor | Paused
2025-10-30 20:18:23,306 | INFO     | LatencyMonitor | Resumed
2025-10-30 20:23:41,517 | INFO     | LatencyMonitor | Settings applied at startup (path=/home/fran/Desktop/Paarchen/latency-monitor/src/lm/ui/settings.json exists=False)
2025-10-30 20:24:47,015 | INFO     | LatencyMonitor | Settings applied at startup (path=/home/fran/Desktop/Paarchen/latency-monitor/src/lm/ui/settings.json exists=False)
2025-10-30 20:25:21,021 | INFO     | LatencyMonitor | Settings applied at startup (path=/home/fran/Desktop/Paarchen/latency-monitor/src/lm/ui/settings.json exists=False)
2025-10-30 20:29:17,110 | INFO     | LatencyMonitor | Settings applied at startup (path=/home/fran/Desktop/Paarchen/latency-monitor/src/lm/ui/settings.json exists=False)
2025-10-30 20:29:28,487 | INFO     | LatencyMonitor | Settings applied at startup (path=/home/fran/Desktop/Paarchen/latency-monitor/src/lm/ui/settings.json exists=False)
2025-10-30 20:33:14,945 | INFO     | LatencyMonitor | Settings applied at startup (path=/home/fran/Desktop/Paarchen/latency-monitor/src/lm/ui/settings.json exists=False)
